GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
com.irurueta:reactor-workshop,com.irurueta.reactorworkshop,SwaggerConfiguration,0,35,0,0,0,8,0,3,0,3
com.irurueta:reactor-workshop,com.irurueta.reactorworkshop,MemoryUsageEstimator,0,15,0,0,0,5,0,2,0,2
com.irurueta:reactor-workshop,com.irurueta.reactorworkshop,ReactorWorkshopApplication,5,3,0,0,2,1,1,1,1,1
com.irurueta:reactor-workshop,com.irurueta.reactorworkshop,ReactorWorkshopConfiguration,0,67,0,8,0,21,0,13,0,9
com.irurueta:reactor-workshop,com.irurueta.reactorworkshop.arithmeticsequence.api.dto,SingleArithmeticSequenceResultDto,107,43,15,1,0,6,11,12,3,12
com.irurueta:reactor-workshop,com.irurueta.reactorworkshop.arithmeticsequence.api.dto,MultipleArithmeticSequenceDetailDto,170,41,38,0,0,6,26,7,7,7
com.irurueta:reactor-workshop,com.irurueta.reactorworkshop.arithmeticsequence.api.dto,MultipleArithmeticSequenceDetailDto.MultipleArithmeticSequenceDetailDtoBuilder,10,35,0,0,0,1,1,6,1,6
com.irurueta:reactor-workshop,com.irurueta.reactorworkshop.arithmeticsequence.api.dto,MultipleArithmeticSequenceSummaryDto,179,49,34,0,0,7,25,8,8,8
com.irurueta:reactor-workshop,com.irurueta.reactorworkshop.arithmeticsequence.api.dto,MultipleArithmeticSequenceSummaryDto.MultipleArithmeticSequenceSummaryDtoBuilder,12,42,0,0,0,1,1,7,1,7
com.irurueta:reactor-workshop,com.irurueta.reactorworkshop.arithmeticsequence.api.dto.factories,MultipleArithmeticSequenceSummaryDtoFactory,0,26,0,0,0,10,0,2,0,2
com.irurueta:reactor-workshop,com.irurueta.reactorworkshop.arithmeticsequence.api.dto.factories,MultipleArithmeticSequenceDetailDtoFactory,0,24,0,0,0,9,0,2,0,2
com.irurueta:reactor-workshop,com.irurueta.reactorworkshop.polynomial.api.dto,EvaluationStepDto.EvaluationStepDtoBuilder,11,35,0,0,0,1,1,6,1,6
com.irurueta:reactor-workshop,com.irurueta.reactorworkshop.polynomial.api.dto,EvaluationStepDto,166,31,32,0,1,5,24,6,8,6
com.irurueta:reactor-workshop,com.irurueta.reactorworkshop.polynomial.api.dto,PolynomialEvaluationResultDto,160,57,19,1,0,8,13,16,3,16
com.irurueta:reactor-workshop,com.irurueta.reactorworkshop.polynomial.api.dto,MultiplePolynomialEvaluationResultDto,170,41,38,0,0,6,26,7,7,7
com.irurueta:reactor-workshop,com.irurueta.reactorworkshop.polynomial.api.dto,MultiplePolynomialEvaluationResultDto.MultiplePolynomialEvaluationResultDtoBuilder,10,35,0,0,0,1,1,6,1,6
com.irurueta:reactor-workshop,com.irurueta.reactorworkshop.polynomial.api.dto,ComplexDto,82,17,10,0,0,3,9,5,4,5
com.irurueta:reactor-workshop,com.irurueta.reactorworkshop.polynomial.api.dto,EvaluationStepsDto,65,10,14,0,0,2,11,3,4,3
com.irurueta:reactor-workshop,com.irurueta.reactorworkshop.arithmeticsequence.api.controllers,ArithmeticSequenceController,0,202,0,0,0,42,0,8,0,8
com.irurueta:reactor-workshop,com.irurueta.reactorworkshop.arithmeticsequence.api.mappers,MultipleArithmeticSequenceDataMapperImpl,0,44,2,14,0,13,2,8,0,2
com.irurueta:reactor-workshop,com.irurueta.reactorworkshop.arithmeticsequence.api.mappers,SingleArithmeticSequenceResultMapperImpl,0,33,0,2,0,10,0,3,0,2
com.irurueta:reactor-workshop,com.irurueta.reactorworkshop.arithmeticsequence.api.mappers,MultipleArithmeticSequenceDataMapper,0,3,0,0,0,1,0,1,0,1
com.irurueta:reactor-workshop,com.irurueta.reactorworkshop.polynomial.domain.services,PolynomialEvaluationService,0,178,2,11,0,51,2,16,0,10
com.irurueta:reactor-workshop,com.irurueta.reactorworkshop.polynomial.domain.services,PolynomialParametersValidationService,0,110,0,14,0,26,0,14,0,7
com.irurueta:reactor-workshop,com.irurueta.reactorworkshop.polynomial.domain.services,MultiplePolynomialEvaluationService,17,34,2,4,6,10,1,5,0,3
com.irurueta:reactor-workshop,com.irurueta.reactorworkshop.polynomial.domain.services,ReactiveMultiplePolynomialEvaluationService,0,31,0,4,0,7,0,4,0,2
com.irurueta:reactor-workshop,com.irurueta.reactorworkshop.polynomial.api.dto.factories,MultiplePolynomialEvaluationResultDtoFactory,0,24,0,0,0,9,0,2,0,2
com.irurueta:reactor-workshop,com.irurueta.reactorworkshop.polynomial.domain.entities,PolynomialEvaluationResult,249,49,44,0,1,8,33,9,11,9
com.irurueta:reactor-workshop,com.irurueta.reactorworkshop.polynomial.domain.entities,EvaluationStep,164,31,38,0,0,5,23,9,4,9
com.irurueta:reactor-workshop,com.irurueta.reactorworkshop.polynomial.domain.entities,Operation,0,83,0,2,0,12,0,7,0,6
com.irurueta:reactor-workshop,com.irurueta.reactorworkshop.polynomial.domain.entities,PolynomialEvaluationResult.PolynomialEvaluationResultBuilder,19,56,0,0,0,1,1,9,1,9
com.irurueta:reactor-workshop,com.irurueta.reactorworkshop.polynomial.domain.exceptions,PolynomialEvaluationException,0,4,0,0,0,2,0,1,0,1
com.irurueta:reactor-workshop,com.irurueta.reactorworkshop.polynomial.domain.exceptions,InvalidEvaluationStepException,0,4,0,0,0,2,0,1,0,1
com.irurueta:reactor-workshop,com.irurueta.reactorworkshop.polynomial.api.mappers,PolynomialEvaluationResultMapperImpl,0,105,0,10,0,24,0,8,0,3
com.irurueta:reactor-workshop,com.irurueta.reactorworkshop.polynomial.api.mappers,EvaluationStepMapperImpl,0,38,0,2,0,9,0,3,0,2
com.irurueta:reactor-workshop,com.irurueta.reactorworkshop.polynomial.api.mappers,EvaluationStepMapper,0,17,0,2,0,4,0,3,0,2
com.irurueta:reactor-workshop,com.irurueta.reactorworkshop.polynomial.api.mappers,ComplexMapperImpl,0,21,0,2,0,7,0,3,0,2
com.irurueta:reactor-workshop,com.irurueta.reactorworkshop.polynomial.api.mappers,PolynomialMapper,0,17,0,4,0,4,0,4,0,2
com.irurueta:reactor-workshop,com.irurueta.reactorworkshop.polynomial.api.mappers,PolynomialMapperImpl,0,3,0,0,0,1,0,1,0,1
com.irurueta:reactor-workshop,com.irurueta.reactorworkshop.polynomial.api.controllers,PolynomialController,0,103,0,0,0,24,0,4,0,4
com.irurueta:reactor-workshop,com.irurueta.reactorworkshop.arithmeticsequence.domain.services,FastArithmeticSequenceService,0,17,0,0,0,2,0,2,0,2
com.irurueta:reactor-workshop,com.irurueta.reactorworkshop.arithmeticsequence.domain.services,ExhaustiveArithmeticSequenceService,0,24,0,2,0,7,0,3,0,2
com.irurueta:reactor-workshop,com.irurueta.reactorworkshop.arithmeticsequence.domain.services,ArithmeticSequenceValidationService,0,23,0,2,0,7,0,4,0,3
com.irurueta:reactor-workshop,com.irurueta.reactorworkshop.arithmeticsequence.domain.services,MultipleArithmeticSequenceService,0,13,0,0,0,3,0,2,0,2
com.irurueta:reactor-workshop,com.irurueta.reactorworkshop.arithmeticsequence.domain.services,ReactiveMultipleArithmeticSequenceService,0,11,0,0,0,3,0,2,0,2
com.irurueta:reactor-workshop,com.irurueta.reactorworkshop.arithmeticsequence.domain.services,BaseMultipleArithmeticSequenceService,0,98,0,6,0,24,0,8,0,5
com.irurueta:reactor-workshop,com.irurueta.reactorworkshop.arithmeticsequence.domain.exceptions,UnsupportedArithmeticSequenceMethodException,0,3,0,0,0,2,0,1,0,1
com.irurueta:reactor-workshop,com.irurueta.reactorworkshop.arithmeticsequence.domain.entities,ArithmeticSequenceMethod,0,61,0,2,0,10,0,7,0,6
com.irurueta:reactor-workshop,com.irurueta.reactorworkshop.arithmeticsequence.domain.entities,MultipleArithmeticSequenceData,113,31,20,0,0,5,14,9,4,9
com.irurueta:reactor-workshop,com.irurueta.reactorworkshop.arithmeticsequence.domain.entities,SingleArithmeticSequenceResult,132,37,16,0,2,6,17,7,9,7
com.irurueta:reactor-workshop,com.irurueta.reactorworkshop.arithmeticsequence.domain.entities,SingleArithmeticSequenceResult.SingleArithmeticSequenceResultBuilder,12,42,0,0,0,1,1,7,1,7
